Date : 2024-03-10 13:00:42
Directory : c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\core
Total : 2904 files,  -759311 codes, -236699 comments, -142850 blanks, all -1138860 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\task.h                                                                                                        | C                |       -410 |     -3,140 |       -157 |     -3,707 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\timers.h                                                                                                      | C++              |       -116 |     -1,256 |        -49 |     -1,421 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\list.c                                                                                                                | C                |        -95 |       -106 |        -48 |       -249 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\manifest.yml                                                                                                          | YAML             |         -4 |          0 |         -1 |         -5 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM0\port.c                                                                                           | C                |       -331 |       -227 |        -82 |       -640 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM0\portmacro.h                                                                                      | C++              |        -88 |        -56 |        -31 |       -175 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3\port.c                                                                                           | C                |       -362 |       -316 |       -102 |       -780 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3\portmacro.h                                                                                      | C++              |       -147 |        -72 |        -47 |       -266 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU\mpu_wrappers_v2_asm.c                                                                        | C                |     -1,974 |       -102 |       -242 |     -2,318 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU\port.c                                                                                       | C                |       -941 |       -371 |       -220 |     -1,532 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU\portmacro.h                                                                                  | C++              |       -221 |       -100 |        -69 |       -390 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4F\port.c                                                                                          | C                |       -412 |       -338 |       -115 |       -865 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4F\portmacro.h                                                                                     | C++              |       -150 |        -71 |        -46 |       -267 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU\mpu_wrappers_v2_asm.c                                                                        | C                |     -1,974 |       -102 |       -242 |     -2,318 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU\port.c                                                                                       | C                |     -1,078 |       -406 |       -242 |     -1,726 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU\portmacro.h                                                                                  | C++              |       -247 |       -173 |        -76 |       -496 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM7\r0p1\port.c                                                                                      | C                |       -409 |       -333 |       -113 |       -855 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM7\r0p1\portmacro.h                                                                                 | C++              |       -151 |        -71 |        -46 |       -268 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_1.c                                                                                             | C                |        -73 |        -57 |        -23 |       -153 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_2.c                                                                                             | C                |       -208 |       -118 |        -61 |       -387 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_3.c                                                                                             | C                |        -39 |        -42 |        -14 |        -95 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_4.c                                                                                             | C                |       -361 |       -161 |        -89 |       -611 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_5.c                                                                                             | C                |       -404 |       -202 |       -104 |       -710 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F\port.c                                                                                      | C                |       -120 |       -112 |        -44 |       -276 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F\port_asm.asm                                                                                | Assembly         |       -136 |        -58 |        -43 |       -237 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F\portmacro.h                                                                                 | C++              |        -65 |        -60 |        -27 |       -152 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\template\port.c                                                                                              | C                |        -26 |        -12 |         -9 |        -47 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\template\portmacro.h                                                                                         | C++              |        -59 |        -19 |        -18 |        -96 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\queue.c                                                                                                               | C                |     -2,176 |       -667 |       -511 |     -3,354 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\stream_buffer.c                                                                                                       | C                |     -1,018 |       -285 |       -231 |     -1,534 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\tasks.c                                                                                                               | C                |     -5,317 |     -1,887 |     -1,337 |     -8,541 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\timers.c                                                                                                              | C                |       -806 |       -287 |       -230 |     -1,323 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Makefile                                                                                                                              | Makefile         |        -37 |         -6 |        -15 |        -58 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Q24VCU.launch                                                                                                                         | XML              |        -83 |          0 |         -1 |        -84 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\arm_common_tables.h                                            | C++              |        -12 |        -22 |         -5 |        -39 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\arm_math.h                                                     | C++              |     -2,837 |     -3,514 |     -1,207 |     -7,558 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0.h                                                     | C++              |       -310 |       -225 |       -133 |       -668 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0plus.h                                                 | C++              |       -380 |       -240 |       -159 |       -779 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm3.h                                                     | C++              |       -878 |       -384 |       -351 |     -1,613 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm4.h                                                     | C++              |       -977 |       -399 |       -382 |     -1,758 |
