"filename", "language", "Markdown", "LinkerScript", "XML", "CMake", "Makefile", "C", "Assembly", "C++", "YAML", "HTML", "Groovy", "Python", "pip requirements", "Shell Script", "Ini", "JSON", "Batch", "reStructuredText", "SQL", "XSL", "toml", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm4.h", "C++", 0, 0, 0, 0, 0, 0, 0, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 382, 1758
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm4_simd.h", "C++", 0, 0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 154, 650
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cmFunc.h", "C++", 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 118, 617
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cmInstr.h", "C++", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 126, 619
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_sc000.h", "C++", 0, 0, 0, 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 165, 799
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_sc300.h", "C++", 0, 0, 0, 0, 0, 0, 0, 856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 345, 1584
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\Loader_Files\Dev_Inf.h", "C++", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Project\TrueSTUDIO\IS61WV51216BLL_STM3210E-EVAL\stm32_flash.ld", "LinkerScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 139
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\Loader_Files\Dev_Inf.c", "C", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 30
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\Loader_Files\Loader_Src.c", "C", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 37, 266
